FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
3171,FIRENZE STREET,2,Paved,County Road
3172,MILL ROAD,2,Paved,County Road
3173,NORTH STREET,2,Paved,County Road
3174,HWY 89,2,Paved,State Highway
3175,MILL ROAD,2,Paved,County Road
3176,I-5,3,Paved,Interstate
3177,SOUTH OLD STAGE ROAD,2,Paved,County Road
3178,ORANGE AVENUE,2,Paved,County Road
3179,ORANGE AVENUE,2,Paved,County Road
3180,OAK STREET,2,Paved,County Road
3181,HENNESSY WAY,2,Paved,County Road
3182,TUCCI AVENUE,2,Paved,County Road
3183,MOTT AIRPORT ROAD,2,Paved,County Road
3184,TUCCI AVENUE,2,Paved,County Road
3185,TUCCI AVENUE,2,Paved,County Road
3186,QUINCY AVENUE,2,Paved,County Road
3187,TUCCI AVENUE,2,Paved,County Road
3188,TUCCI AVENUE,2,Paved,County Road
3189,TUCCI AVENUE,2,Paved,County Road
3190,FREEWAY DRIVE,2,Paved,County Road
3191,I-5R,2,Paved,Interstate Ramp
3192,I-5R,2,Paved,Interstate Ramp
3193,FREEWAY DRIVE,2,Paved,County Road
3194,I-5,3,Paved,Interstate
3195,OAK STREET,2,Paved,County Road
3196,FREEWAY DRIVE,2,Paved,County Road
3197,I-5,3,Paved,Interstate
3198,MILL ROAD,2,Paved,County Road
3199,FREEWAY DRIVE,2,Paved,County Road
3200,I-5R,2,Paved,Interstate Ramp
3201,OAK STREET,2,Paved,County Road
3202,FREEWAY DRIVE,2,Paved,County Road
3203,BERKELEY WAY,2,Paved,County Road
3204,WEST COLOMBERO DRIVE,2,Paved,County Road
3205,SISKIYOU AVENUE,2,Paved,County Road
3206,JUNCTION AVENUE,2,Paved,County Road
3207,ELM STREET,2,Paved,County Road
3208,WEST COLOMBERO DRIVE,2,Paved,County Road
3209,BROADWAY,2,Paved,County Road
3210,WEST COLOMBERO DRIVE,2,Paved,County Road
3211,QUINCY AVENUE,2,Paved,County Road
3212,I-5R,2,Paved,Interstate Ramp
3213,I-5,3,Paved,Interstate
3214,EDGEWOOD COURT,2,Paved,County Road
3215,OAK STREET,2,Paved,County Road
3216,OAK STREET,2,Paved,County Road
3217,WEST COLOMBERO DRIVE,2,Paved,County Road
3218,WEST COLOMBERO DRIVE,2,Paved,County Road
3219,WEST COLOMBERO DRIVE,2,Paved,County Road
3220,CALIFORNIA AVENUE,2,Paved,County Road
3221,WETZEL DRIVE,2,Paved,County Road
3222,WEST COLOMBERO DRIVE,2,Paved,County Road
3223,WEST COLOMBERO DRIVE,2,Paved,County Road
3224,WEST COLOMBERO DRIVE,2,Paved,County Road
3225,SHASTA AVENUE,2,Paved,County Road
3226,EAST COLOMBERO DRIVE,2,Paved,County Road
3227,EAST COLOMBERO DRIVE,2,Paved,County Road
3228,I-5,3,Paved,Interstate
3229,I-5R,2,Paved,Interstate Ramp
3230,DIVISION STREET,2,Paved,County Road
3231,QUINCY AVENUE,2,Paved,County Road
3232,DIVISION STREET,2,Paved,County Road
3233,CALIFORNIA AVENUE,2,Paved,County Road
3234,DIVISION STREET,2,Paved,County Road
3235,MAIN STREET,2,Paved,County Road
3236,HWY 89,2,Paved,State Highway
3237,SHASTA AVENUE,2,Paved,County Road
3238,HAMILTON WAY,2,Paved,County Road
3239,BROADWAY,2,Paved,County Road
3240,CAMPUS WAY,2,Paved,County Road
3241,BROADWAY,2,Paved,County Road
3242,MOTT AIRPORT RD,2,Paved,City Street
3243,PINE STREET,2,Paved,County Road
3244,QUINCY AVENUE,2,Paved,County Road
3245,PINE STREET,2,Paved,County Road
3246,CALIFORNIA AVENUE,2,Paved,County Road
3247,PINE STREET,2,Paved,County Road
3248,CECILVILLE ROAD,2,Paved,County Road
3249,MODOC AVENUE,2,Paved,County Road
3250,MODOC AVENUE,2,Paved,County Road
3251,BROADWAY,2,Paved,County Road
3252,MAIN STREET,2,Paved,County Road
3253,WEST MINNESOTA AVENUE,2,Paved,County Road
3254,WEST MINNESOTA AVENUE,2,Paved,County Road
3255,QUINCY AVENUE,2,Paved,County Road
3256,PLUM AVENUE,2,Paved,County Road
3257,CADORNA AVENUE,2,Paved,County Road
3258,CALIFORNIA AVENUE,2,Paved,County Road
3259,WEST MINNESOTA AVENUE,2,Paved,County Road
3260,WEST MINNESOTA AVENUE,2,Paved,County Road
3261,HWY 89,2,Paved,State Highway
3262,SHASTA AVENUE,2,Paved,County Road
3263,EAST MINNESOTA AVENUE,2,Paved,County Road
3264,EAST MINNESOTA AVENUE,2,Paved,County Road
3265,FOREST ROAD,2,Paved,County Road
3266,MOTT AIRPORT ROAD,2,Paved,County Road
3267,SHASTA SPR MCCLOUD ROAD,2,Unpaved,County Road
3268,BROADWAY AVENUE,2,Paved,County Road
3269,HWY 89,2,Paved,State Highway
3270,HWY 89,2,Paved,State Highway
3271,EAST MINNESOTA AVENUE,2,Paved,County Road
3272,HWY 89,2,Paved,State Highway
3273,MODOC AVENUE,2,Paved,County Road
3274,CADORNA AVENUE,2,Paved,County Road
3275,MODOC AVENUE,2,Paved,County Road
3276,CASTLE LAKE ROAD,2,Paved,County Road
3277,SHASTA SPR MCCLOUD ROAD,2,Unpaved,County Road
3278,SHASTA SPR MCCLOUD ROAD,2,Unpaved,County Road
3279,SHASTA SPR MCCLOUD ROAD,2,Unpaved,County Road
3280,I-5,3,Paved,Interstate
3281,CECILVILLE ROAD,2,Paved,County Road
3282,I-5,3,Paved,Interstate
3283,BLACK BEAR ROAD,2,Unpaved,County Road
3284,MOTT RD,2,Paved,City Street
3285,DUNSMUIR AVE,2,Paved,City Street
3286,I-5R,2,Paved,Interstate Ramp
3287,I-5R,2,Paved,Interstate Ramp
3288,I-5,2,Paved,Interstate
3289,PATRICIA WAY,2,Paved,City Street
3290,PATRICIA WAY,2,Paved,City Street
3291,I-5,3,Paved,Interstate
3292,I-5,2,Paved,Interstate
3293,I-5,3,Paved,Interstate
3294,I-5,2,Paved,Interstate
3295,DUNSMUIR AVE,2,Paved,City Street
3296,LINDA,2,Paved,City Street
3297,I-5R,2,Paved,Interstate Ramp
3298,I-5,2,Paved,Interstate
3299,I-5R,2,Paved,Interstate Ramp
3300,I-5,2,Paved,Interstate
3301,PROSPECT AVE,2,Paved,City Street
3302,ALPINE DR,2,Paved,City Street
3303,PROSPECT AVE,2,Paved,City Street
3304,DUNSMUIR AVE,2,Paved,City Street
3305,PROSPECT AVE,2,Paved,City Street
3306,PROSPECT AVE,2,Paved,City Street
3307,CECILVILLE ROAD,2,Paved,County Road
3308,GLEAVES AVE,2,Paved,City Street
3309,CALDWELL ST,2,Paved,City Street
3310,DUNSMUIR AVE,2,Paved,City Street
3311,NEEDHAM AVE,2,Paved,City Street
3312,ISGRIGG AVE,2,Paved,City Street
3313,ALLEY,2,Paved,City Street
3314,ISGRIGG AVE,2,Paved,City Street
3315,GLEAVES AVE,2,Paved,City Street
3316,ISGRIGG AVE,2,Paved,City Street
3317,ISGRIGG AVE,2,Paved,City Street
3318,DUNSMUIR AVE,2,Paved,City Street
3319,I-5R,2,Paved,Interstate Ramp
3320,I-5,3,Paved,Interstate
3321,DUNSMUIR AVE,2,Paved,City Street
3322,CENTER DR,2,Paved,City Street
3323,I-5,3,Paved,Interstate
3324,I-5R,2,Paved,Interstate Ramp
3325,HOLLY AVE,2,Paved,City Street
3326,DUNSMUIR AVE,2,Paved,City Street
3327,LINCOLN ST,2,Paved,City Street
3328,ALLEY,2,Paved,City Street
3329,GRAY AVE,2,Paved,City Street
3330,NEEDHAM AVE,2,Paved,City Street
3331,GLEAVES AVE,2,Paved,City Street
3332,GRAY AVE,2,Paved,City Street
3333,HOLLY AVE,2,Paved,City Street
3334,HOPE LN,2,Paved,City Street
3335,E INEZ ST,2,Unpaved,City Street
3336,GLEAVES AVE,2,Paved,City Street
3337,CHAPARRAL DR,2,Paved,City Street
3338,ISLAND ROAD,2,Paved,County Road
3339,I-5,2,Paved,Interstate
3340,X,2,Unpaved,City Street
3341,ISLAND ROAD,2,Paved,County Road
3342,HWY 97,3,Paved,State Highway
3343,CHAPARRAL DR,2,Paved,City Street
3344,I-5,2,Paved,Interstate
3345,GROVE ST,2,Paved,City Street
3346,NORTH WEED BL,2,Paved,City Street
3347,MAIN ST,2,Paved,City Street
3348,GROVE ST,2,Paved,City Street
3349,NORTH WEED BL,3,Paved,City Street
3350,EUREKA WY,2,Paved,City Street
3351,NORTH WEED BL,4,Paved,City Street
3352,HWY 97 RAMP,2,Paved,State Highway
3353,MAIN ST,2,Paved,City Street
3354,W LAKE ST,2,Paved,City Street
3355,NORTH WEED BL,4,Paved,City Street
3356,CHAPARRAL DR,2,Paved,City Street
3357,I-5R,2,Paved,Interstate Ramp
3358,CLAY ST,2,Paved,City Street
3359,OLIVE ST,2,Unpaved,City Street
3360,HWY 97 RAMP,2,Paved,State Highway
3361,NORTH WEED BL,3,Paved,City Street
3362,CHAPARRAL DR,2,Paved,City Street
3363,EUREKA WY,2,Paved,City Street
3364,NORTH WEED BL,3,Paved,City Street
3365,I-5R,2,Paved,Interstate Ramp
3366,I-5,2,Paved,Interstate
3367,MAIN ST,2,Paved,City Street
3368,NORTH WEED BL,3,Paved,City Street
3369,I-5,2,Paved,Interstate
3370,I-5,2,Paved,Interstate
3371,I-5R,2,Paved,Interstate Ramp
3372,STEWART SPRINGS ROAD,2,Paved,County Road
3373,BOLES ST,2,Paved,City Street
3374,LAKE ST,2,Paved,City Street
3375,STEWART SPRINGS ROAD,2,Paved,County Road
3376,I-5,2,Paved,Interstate
3377,BOLES ST,2,Paved,City Street
3378,NORTH WEED BL,3,Paved,City Street
3379,NORTH WEED BL,4,Paved,City Street
3380,I-5R,2,Paved,Interstate Ramp
3381,I-5R,2,Paved,Interstate Ramp
3382,NORTH WEED BL,4,Paved,City Street
3383,BELCASTRO DR,2,Paved,City Street
3384,NORTH WEED BL,5,Paved,City Street
3385,I-5,2,Paved,Interstate
3386,NORTH WEED BL,5,Paved,City Street
3387,I-5,2,Paved,Interstate
3388,NORTH WEED BL,5,Paved,City Street
3389,NORTH WEED BL,5,Paved,City Street
3390,I-5R,2,Paved,Interstate Ramp
3391,OREGON ST,2,Paved,City Street
3392,SULLIVAN AV,2,Paved,City Street
3393,SULLIVAN AV,2,Paved,City Street
3394,WALNUT ST,2,Paved,City Street
3395,SULLIVAN AV,2,Paved,City Street
3396,SULLIVAN AV,2,Paved,City Street
3397,TERRACE ST,2,Paved,City Street
3398,SULLIVAN AV,2,Paved,City Street
3399,SULLIVAN AV,2,Paved,City Street
3400,SULLIVAN AV,2,Paved,City Street
3401,DAKOTA CT,2,Paved,City Street
3402,DAKOTA ST,2,Paved,City Street
3403,NORTH WEED BL,5,Paved,City Street
3404,I-5R,2,Paved,Interstate Ramp
3405,COLLEGE AVE,2,Paved,City Street
3406,OREGON ST,2,Paved,City Street
3407,COLLEGE AVE,2,Paved,City Street
3408,WALNUT ST,2,Paved,City Street
3409,COLLEGE AVE,2,Paved,City Street
3410,DAKOTA ST,2,Paved,City Street
3411,SOUTH WEED BL,5,Paved,City Street
3412,HWY 3,2,Paved,State Highway
3413,COLLEGE AVE,2,Paved,City Street
3414,TERRACE ST,2,Paved,City Street
3415,COLLEGE AVE,2,Paved,City Street
3416,DOLLAR AV,2,Paved,City Street
3417,SOUTH WEED BL,5,Paved,City Street
3418,SOUTH WEED BL,2,Paved,City Street
3419,COLLEGE AVE,2,Paved,City Street
3420,BEL AIR AV,2,Paved,City Street
3421,PHELPS AV,2,Paved,City Street
3422,OREGON ST,2,Paved,City Street
3423,PHELPS AV,2,Paved,City Street
3424,WALNUT ST,2,Paved,City Street
3425,I-5R,2,Paved,Interstate Ramp
3426,I-5,2,Paved,Interstate
3427,PHELPS AV,2,Paved,City Street
3428,SAWYERS BAR ROAD,2,Paved,County Road
3429,I-5,2,Paved,Interstate
3430,I-5R,2,Paved,Interstate Ramp
3431,SOUTH WEED BL,2,Paved,City Street
3432,WALNUT ST,2,Paved,City Street
3433,SISKIYOU WY,2,Paved,City Street
3434,SISKIYOU WY,2,Paved,City Street
3435,OREGON ST,2,Paved,City Street
3436,SISKIYOU WY,2,Paved,City Street
3437,SISKIYOU WY,2,Paved,City Street
3438,SISKIYOU WY,2,Paved,City Street
3439,I-5,3,Paved,Interstate
3440,SISKIYOU WY,2,Paved,City Street
3441,I-5,2,Paved,Interstate
3442,SISKIYOU WY,2,Paved,City Street
3443,SISKIYOU WY,2,Paved,City Street
3444,OREGON ST,2,Paved,City Street
3445,MEADOW LANE,2,Paved,County Road
3446,WALNUT ST,2,Paved,City Street
3447,HIDDEN MEADOW DRIVE,2,Paved,County Road
3448,HEATHER PLACE,2,Paved,County Road
3449,SHASTINA DR,2,Paved,City Street
3450,GLENHAVEN COURT,2,Paved,County Road
3451,HIDDEN MEADOW DRIVE,2,Paved,County Road
3452,COLLEGE AVE,2,Paved,City Street
3453,HIDDEN MEADOW DRIVE,2,Paved,County Road
3454,HIDDEN MEADOW DRIVE,2,Paved,County Road
3455,EAST CALLAHAN ROAD,2,Paved,County Road
3456,EAST CALLAHAN ROAD,2,Paved,County Road
3457,HIDDEN MEADOW DRIVE,2,Paved,County Road
3458,FRENCH CREEK ROAD,2,Paved,County Road
3459,I-5,2,Paved,Interstate
3460,SHASTINA DR,2,Paved,City Street
3461,COLLEGE AVENUE,2,Paved,County Road
3462,COLLEGE AVENUE,2,Paved,County Road
3463,NORTH OLD STAGE ROAD,2,Paved,County Road
3464,I-5,3,Paved,Interstate
3465,KELLOGG DR,2,Paved,City Street
3466,BLACK BUTTE DR,2,Paved,City Street
3467,COLLEGE AVENUE,2,Paved,County Road
3468,NORTH OLD STAGE ROAD,2,Paved,County Road
3469,NORTH OLD STAGE ROAD,2,Paved,County Road
3470,BLACK BUTTE DR,2,Paved,City Street
3471,VISTA DR,2,Paved,City Street
3472,BLACK BUTTE DR,2,Paved,City Street
3473,HWY 3,2,Paved,State Highway
3474,EAST CALLAHAN ROAD,2,Paved,County Road
3475,FAY LANE,2,Paved,County Road
3476,VISTA DR,5,Paved,City Street
3477,SHASTINA DR,2,Paved,City Street
3478,VISTA DR,5,Paved,City Street
3479,SHASTINA DR,2,Paved,City Street
3480,BLACK BUTTE DR,2,Paved,City Street
3481,VISTA DR,3,Paved,City Street
3482,I-5R,2,Paved,Interstate Ramp
3483,I-5R,2,Paved,Interstate Ramp
3484,VISTA DR,3,Paved,City Street
3485,I-5,2,Paved,Interstate
3486,COMMERCE CT,2,Paved,City Street
3487,SHASTINA DR,3,Paved,City Street
3488,VISTA DR,3,Paved,City Street
3489,I-5,3,Paved,Interstate
3490,VISTA DR,3,Paved,City Street
3491,VISTA DR,2,Paved,City Street
3492,I-5R,2,Paved,Interstate Ramp
3493,VISTA DR,2,Paved,City Street
3494,HWY 96,2,Paved,State Highway
3495,VISTA DR,2,Paved,City Street
3496,SOUTH WEED BL,2,Paved,City Street
3497,BLACK BUTTE DR,2,Paved,City Street
3498,I-5R,2,Paved,Interstate Ramp
3499,I-5,2,Paved,Interstate
3500,BLACK BUTTE RD,2,Unpaved,City Street
3501,BLACK BUTTE,2,Unpaved,City Street
3502,GAZELLE CALLAHAN ROAD,2,Paved,County Road
3503,HWY 96,2,Paved,State Highway
3504,I-5,3,Paved,Interstate
3505,I-5R,2,Paved,Interstate Ramp
3506,HWY 96,2,Paved,State Highway
3507,BLACK BUTTE RD,2,Unpaved,City Street
3508,GAZELLE CALLAHAN ROAD,2,Paved,County Road
3509,BLACK BUTTE DR,2,Paved,City Street
3510,SAWYERS BAR ROAD,2,Paved,County Road
3511,NOYES VALLEY ROAD,2,Unpaved,County Road
3512,ISHI PISHI ROAD,2,Paved,County Road
3513,HWY 96,2,Paved,State Highway
3514,RAIL CREEK ROAD,2,Paved,County Road
3515,I-5,3,Paved,Interstate
3516,TRUCK VILLAGE DRIVE,2,Unpaved,County Road
3517,RAIL CREEK ROAD,2,Paved,County Road
3518,NORTH OLD STAGE ROAD,2,Paved,County Road
3519,TWIN HILLS COURT,2,Paved,County Road
3520,NORTH OLD STAGE ROAD,2,Paved,County Road
3521,NORTH OLD STAGE ROAD,2,Paved,County Road
3522,DOGWOOD DRIVE,2,Paved,County Road
3523,LINVILLE DRIVE,2,Paved,County Road
3524,NORTH OLD STAGE ROAD,2,Paved,County Road
3525,I-5,2,Paved,Interstate
3526,I-5,2,Paved,Interstate
3527,SAWYERS BAR ROAD,2,Paved,County Road
3528,MINERS CREEK ROAD,2,Unpaved,County Road
3529,MINERS CREEK ROAD,2,Unpaved,County Road
3530,SUGAR CREEK ROAD,2,Unpaved,County Road
3531,SUGAR CREEK ROAD,2,Paved,County Road
3532,SALMON RIVER ROAD,2,Paved,County Road
3533,TRUCK VILLAGE DRIVE,2,Paved,County Road
3534,I-5R,2,Paved,Interstate Ramp
3535,TRUCK VILLAGE DRIVE,2,Paved,County Road
3536,I-5,2,Paved,Interstate
3537,TRUCK VILLAGE DRIVE,2,Paved,County Road
3538,I-5,2,Paved,Interstate
3539,TRUCK VILLAGE DRIVE,2,Paved,County Road
3540,I-5R,2,Paved,Interstate Ramp
3541,DEETZ ROAD,2,Paved,County Road
3542,TRUCK VILLAGE DRIVE,2,Paved,County Road
3543,SUMMIT DRIVE,2,Paved,County Road
3544,FRENCH CREEK ROAD,2,Paved,County Road
3545,WOODSIDE DRIVE,2,Paved,County Road
3546,MINERS CREEK ROAD,2,Unpaved,County Road
3547,FRENCH CREEK ROAD,2,Paved,County Road
3548,I-5R,2,Paved,Interstate Ramp
3549,I-5,2,Paved,Interstate
3550,DEETZ ROAD,2,Paved,County Road
3551,I-5,2,Paved,Interstate
3552,I-5,3,Paved,Interstate
3553,I-5R,2,Paved,Interstate Ramp
3554,EDDYS CIRCLE,2,Paved,County Road
3555,RAMONA DRIVE,2,Paved,County Road
3556,WOODSIDE COURT,2,Paved,County Road
3557,SUMMIT DRIVE,2,Paved,County Road
3558,NORTH OLD STAGE ROAD,2,Paved,County Road
3559,DEETZ ROAD,2,Paved,County Road
3560,DEETZ ROAD,2,Paved,County Road
3561,GAZELLE CALLAHAN ROAD,2,Paved,County Road
3562,I-5,2,Paved,Interstate
3563,FRENCH CREEK ROAD,2,Paved,County Road
3564,SUNSET DRIVE,2,Paved,County Road
3565,SKYVIEW ROAD,2,Paved,County Road
3566,SKYVIEW ROAD,2,Paved,County Road
3567,NORTH OLD STAGE ROAD,2,Paved,County Road
3568,SPRING HILL DRIVE,2,Unpaved,County Road
3569,GAZELLE CALLAHAN ROAD,2,Paved,County Road
3570,NOYES VALLEY ROAD,2,Unpaved,County Road
3571,SUMMIT DRIVE,2,Paved,County Road
3572,SPRING HILL DRIVE,2,Paved,County Road
3573,I-5,3,Paved,Interstate
3574,MT SHASTA DUMP RD,2,Paved,City Street
3575,SPRING HILL DR,2,Paved,City Street
3576,SUMMIT DRIVE,2,Paved,County Road
3577,I-5,3,Paved,Interstate
3578,I-5,3,Paved,Interstate
3579,SUNRISE DRIVE,2,Paved,County Road
3580,SAND FLAT ROAD,2,Unpaved,County Road
3581,SPRING HILL DR,2,Paved,City Street
3582,ABRAMS LAKE ROAD,2,Paved,County Road
3583,I-5R,2,Paved,Interstate Ramp
3584,SAND FLAT ROAD,2,Unpaved,County Road
3585,ABRAMS LAKE ROAD,2,Paved,County Road
3586,I-5,3,Paved,Interstate
3587,NORTH OLD STAGE ROAD,2,Paved,County Road
3588,NORTH OLD STAGE ROAD,2,Paved,County Road
3589,ABRAMS LAKE ROAD,2,Paved,County Road
3590,I-5,2,Paved,Interstate
3591,ABRAMS LAKE ROAD,2,Paved,County Road
3592,I-5R,2,Paved,Interstate Ramp
3593,PONY TRAIL,2,Paved,County Road
3594,ABRAMS LAKE ROAD,2,Paved,County Road
3595,SUMMIT DRIVE,2,Paved,County Road
3596,SALMON RIVER ROAD,2,Paved,County Road
3597,HWY 3,2,Paved,State Highway
3598,ABRAMS LAKE ROAD,2,Paved,County Road
3599,ABRAMS LAKE ROAD,2,Paved,County Road
3600,NORTH OLD STAGE ROAD,2,Paved,County Road
3601,UPTON ROAD,2,Paved,County Road
3602,I-5R,2,Paved,Interstate Ramp
3603,I-5,3,Paved,Interstate
3604,NORTH OLD STAGE ROAD,2,Paved,County Road
3605,DAVIS PLACE ROAD,2,Paved,County Road
3606,I-5,2,Paved,Interstate
3607,I-5R,2,Paved,Interstate Ramp
3608,DAVIS PLACE ROAD,2,Paved,County Road
3609,FRENCH CREEK ROAD,2,Unpaved,County Road
3610,DAVIS PLACE ROAD,2,Paved,County Road
3611,DAVIS PLACE ROAD,2,Paved,County Road
3612,FREDERICK STREET,2,Paved,County Road
3613,AMY COURT,2,Paved,County Road
3614,I-5,2,Paved,Interstate
3615,DAVIS PLACE ROAD,2,Paved,County Road
3616,DAVIS PLACE ROAD,2,Paved,County Road
3617,PINE GROVE DRIVE,2,Paved,County Road
3618,NORTH OLD STAGE ROAD,2,Paved,County Road
3619,AUDUBON ROAD,2,Paved,County Road
3620,SUGAR CREEK ROAD,2,Paved,County Road
3621,NORTH OLD STAGE ROAD,2,Paved,County Road
3622,WISNER ROAD,2,Paved,County Road
3623,NORTH OLD STAGE ROAD,2,Paved,County Road
3624,AUDUBON ROAD,2,Paved,County Road
3625,BOBCAT TRAIL,2,Paved,County Road
3626,AUDUBON ROAD,2,Paved,County Road
3627,AUDUBON ROAD,2,Paved,County Road
3628,TIMBER HILLS ROAD,2,Paved,County Road
3629,I-5,2,Paved,Interstate
3630,I-5R,2,Paved,Interstate Ramp
3631,AUDUBON ROAD,2,Paved,County Road
3632,I-5,3,Paved,Interstate
3633,I-5R,2,Paved,Interstate Ramp
3634,TANAGER LANE,2,Paved,County Road
3635,SPRING HILL DR,2,Paved,City Street
3636,I-5R,2,Paved,Interstate Ramp
3637,I-5,3,Paved,Interstate
3638,X,2,Unpaved,City Street
3639,S MT SHASTA BLVD,2,Paved,City Street
3640,HIGHLAND DRIVE,2,Paved,County Road
3641,X,2,Paved,City Street
3642,SAWYERS BAR ROAD,2,Paved,County Road
3643,SKI VILLAGE DR,2,Paved,City Street
3644,S MT SHASTA BLVD,2,Paved,City Street
3645,SKI VILLAGE DR,2,Paved,City Street
3646,SKI VILLAGE DRIVE,2,Paved,County Road
3647,SKI VILLAGE DRIVE,2,Paved,County Road
3648,MASTERSON ROAD,2,Paved,County Road
3649,HIGHLAND DRIVE,2,Paved,County Road
3650,NORTH OLD STAGE ROAD,2,Paved,County Road
3651,EAST CALLAHAN ROAD,2,Paved,County Road
3652,BLACK BUTTE DRIVE,2,Paved,County Road
3653,SHASTA ALPINE DRIVE,2,Paved,County Road
3654,BLACK BUTTE DRIVE,2,Paved,County Road
3655,HWY 3,2,Paved,State Highway
3656,S MT SHASTA BLVD,2,Paved,City Street
3657,REGINATO RD,2,Paved,City Street
3658,CALLAHAN DUMP ROAD,2,Unpaved,County Road
3659,HWY 3,2,Paved,State Highway
3660,RAINBOW DRIVE,2,Paved,County Road
3661,SCHILLING WAY,2,Paved,County Road
3662,HIGHLAND DRIVE,2,Paved,County Road
3663,SCHILLING WAY,2,Paved,County Road
3664,SCHILLING WAY,2,Paved,County Road
3665,CRESCENT DRIVE,2,Paved,County Road
3666,SCHILLING WAY,2,Paved,County Road
3667,NORTH OLD STAGE ROAD,2,Paved,County Road
3668,PINE GROVE DRIVE,2,Paved,County Road
3669,SCHILLING WAY,2,Paved,County Road
3670,SCHILLING WAY,2,Paved,County Road
3671,NIXON RD,2,Paved,City Street
3672,BUTTE AVENUE,2,Paved,County Road
3673,BUTTE AVENUE,2,Paved,County Road
3674,NORTH OLD STAGE ROAD,2,Paved,County Road
3675,WAYEHKA WY,2,Paved,County Road
3676,MORRIS STREET,2,Paved,County Road
3677,SHASTA AVENUE,2,Paved,County Road
3678,SHASTA AVENUE,2,Paved,County Road
3679,CAROLINE AVE,2,Paved,City Street
3680,SHASTA AVENUE,2,Paved,County Road
3681,SHASTA AVENUE,2,Paved,County Road
3682,SHASTA AVENUE,2,Paved,County Road
3683,NORTH OLD STAGE ROAD,2,Paved,County Road
3684,WOODLAND PARK DRIVE,2,Paved,County Road
3685,SKI BOWL DR,2,Paved,City Street
3686,TERRY LYNN AVE,2,Paved,City Street
3687,PINE RIDGE AVE,2,Paved,City Street
3688,TERRY LYNN AVE,2,Paved,City Street
3689,SCENIC DRIVE,2,Paved,County Road
3690,WEST SCENIC DRIVE,2,Paved,County Road
3691,WOODLAND PARK DRIVE,2,Paved,County Road
3692,SKI BOWL DR,2,Paved,City Street
3693,KENNEDY DR,2,Paved,City Street
3694,WILDCAT CREEK ROAD,2,Unpaved,County Road
3695,GAZELLE CALLAHAN ROAD,2,Paved,County Road
3696,KELLY GULCH ROAD,2,Unpaved,County Road
3697,MARJORIE ST,2,Paved,City Street
3698,MARGIE CT,2,Paved,City Street
3699,MASTERSON ROAD,2,Unpaved,County Road
3700,PINE RIDGE AVE,2,Paved,City Street
3701,SKI BOWL DR,2,Paved,City Street
3702,PINE RIDGE AVE,2,Paved,City Street
3703,PINE RIDGE AVE,2,Paved,City Street
3704,BUENA VISTA CT,2,Paved,City Street
3705,GALLETTI PL,2,Paved,City Street
3706,MARJORIE ST,2,Paved,City Street
3707,KENNETH WAY,2,Paved,City Street
3708,LASSEN LANE,2,Paved,County Road
3709,SCENIC DRIVE,2,Paved,County Road
3710,PINE GROVE DRIVE,2,Paved,County Road
3711,LASSEN LANE,2,Paved,County Road
3712,CARMEN AVE,2,Paved,City Street
3713,CAROLINE AVE,2,Paved,City Street
3714,E IVY ST,2,Paved,City Street
3715,MTN OAK DR,2,Paved,City Street
3716,ROCKFELLOW DR,2,Paved,City Street
3717,ROCKFELLOW DR,2,Paved,City Street
3718,SKI BOWL DR,2,Paved,City Street
3719,E IVY ST,2,Paved,City Street
3720,LASSEN LANE,2,Paved,County Road
3721,E IVY ST,2,Paved,City Street
3722,E IVY ST,2,Paved,City Street
3723,KENNETH WAY,2,Paved,City Street
3724,ROCKFELLOW DR,2,Paved,City Street
3725,EVERETT MEMORIAL HWY,2,Paved,City Street
3726,E IVY ST,2,Paved,City Street
3727,ROCKFELLOW DR,2,Paved,City Street
3728,LASSEN LANE,2,Paved,County Road
3729,I-5,2,Paved,Interstate
3730,PINE ST,2,Paved,City Street
3731,I-5,2,Paved,Interstate
3732,MADISON DRIVE,2,Paved,County Road
3733,PINE ST,2,Paved,City Street
3734,LASSEN LANE,2,Paved,County Road
3735,LASSEN LANE,2,Paved,County Road
3736,MADISON DRIVE,2,Paved,County Road
3737,LASSEN LANE,2,Paved,County Road
3738,NORTH OLD STAGE ROAD,2,Paved,County Road
3739,S MT SHASTA BLVD,2,Paved,City Street
3740,E IVY ST,2,Paved,City Street
3741,ALPINE DRIVE,2,Paved,County Road
3742,KINGSTON RD,2,Paved,City Street
3743,PINE ST,2,Paved,City Street
3744,CHESTNUT ST,2,Paved,City Street
3745,E IVY ST,2,Paved,City Street
3746,FIELD ST,2,Paved,City Street
3747,S MT SHASTA BLVD,2,Paved,City Street
3748,SMITH ROAD,2,Paved,County Road
3749,BIRCH ST,2,Paved,City Street
3750,ALMA ST,2,Paved,City Street
3751,SPRUCE ST,2,Paved,City Street
3752,EVERETT MEMORIAL HWY,2,Paved,City Street
3753,LAKE DR,2,Paved,City Street
3754,E IVY ST,2,Paved,City Street
3755,CHESTNUT ST,2,Paved,City Street
3756,ALPINE DRIVE,2,Paved,County Road
3757,E JESSIE ST,2,Paved,City Street
3758,ALDER ST,2,Paved,City Street
3759,WILDCAT CREEK ROAD,2,Paved,County Road
3760,E IVY ST,2,Paved,City Street
3761,S MT SHASTA BLVD,2,Paved,City Street
3762,MOUNTAIN VIEW LANE,2,Paved,County Road
