FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
2702,E LINCOLN AV,2,Paved,City Street
2703,E LINCOLN AV,2,Paved,City Street
2704,E LINCOLN AV,2,Paved,City Street
2705,CHURCH ST,2,Paved,City Street
2706,GRANT AV,2,Paved,City Street
2707,CRESTMORE AV,2,Paved,City Street
2708,CYPRESS AV,2,Paved,City Street
2709,TENT AV,2,Paved,City Street
2710,CYPRESS AV,2,Paved,City Street
2711,OLD EDGEWOOD WEED ROAD,2,Unpaved,County Road
2712,RAILROAD AV,2,Paved,City Street
2713,CYPRESS AV,2,Paved,City Street
2714,MILL ST,2,Paved,City Street
2715,MILL ST,2,Paved,City Street
2716,OLD EDGEWOOD WEED ROAD,2,Paved,County Road
2717,OLD EDGEWOOD WEED ROAD,2,Paved,County Road
2718,STRINGTOWN AV,2,Paved,City Street
2719,S STRINGTOWN AV,2,Paved,City Street
2720,OLD EDGEWOOD WEED ROAD,2,Unpaved,County Road
2721,ROSEBURG PY,2,Paved,City Street
2722,MILL ST,2,Paved,City Street
2723,N DAVIS AV,2,Paved,City Street
2724,N DAVIS AV,2,Paved,City Street
2725,SPUR RD,2,Paved,City Street
2726,STRINGTOWN AV,2,Paved,City Street
2727,LIBERTY AV,2,Paved,City Street
2728,N DAVIS AV,2,Paved,City Street
2729,N DAVIS AV,2,Paved,City Street
2730,N DAVIS AV,2,Paved,City Street
2731,N DAVIS AV,2,Paved,City Street
2732,S STRINGTOWN AV,2,Paved,City Street
2733,N DAVIS AV,2,Paved,City Street
2734,N DAVIS AV,2,Paved,City Street
2735,N DAVIS AV,2,Paved,City Street
2736,N DAVIS AV,2,Paved,City Street
2737,DAVIS CT,2,Paved,City Street
2738,HWY 97,3,Paved,State Highway
2739,RAILROAD AV,2,Paved,City Street
2740,ALAMO AV,2,Paved,City Street
2741,DAVIS CT,2,Paved,City Street
2742,DAVIS CT,2,Paved,City Street
2743,HILLSIDE DR,2,Unpaved,City Street
2744,LIBERTY AV,2,Paved,City Street
2745,COMO ST,2,Paved,City Street
2746,WHITE AV,2,Paved,City Street
2747,SHASTA AV,2,Paved,City Street
2748,GENOA ST,2,Paved,City Street
2749,VENICE ST,2,Paved,City Street
